,t,i,j,k,v,q,category,vcate,qcate,vprod,qprod,category2level,vcate2,qcate2,vcate%,qcate%,vprod%,qprod%
25404,2019,24,28,170490,0.18,0.09,17,10.966999999999999,23.398999999999997,1.4609999999999999,0.593,1704,7.366,18.093,0.01641287498860217,0.0038463182187272963,0.12320328542094457,0.15177065767284992
25409,2019,24,28,240110,0.043,0.031,24,178.113,21.866,0.864,2.531,2401,0.864,2.531,0.00024141977284083697,0.0014177261501875057,0.04976851851851852,0.012248123271434215
25473,2019,24,56,090111,15.199000000000002,9.641,09,1352.3919999999998,794.8629999999998,1349.051,794.204,0901,1349.146,794.2159999999999,0.011238605374772998,0.012129134203001024,0.011266438407443456,0.012139198493082383
25474,2019,24,56,110710,191.12,391.0,11,196.52299999999997,401.33799999999997,191.376,391.004,1107,191.376,391.004,0.9725070347999981,0.9742411633087323,0.9986623192040799,0.9999897699256273
25661,2019,24,124,071239,0.048,0.02,07,79.73400000000001,113.96300000000004,0.048,0.02,0712,0.048,0.02,0.0006020016555045526,0.00017549555557505502,1.0,1.0
25662,2019,24,124,071333,0.027999999999999997,0.05,07,79.73400000000001,113.96300000000004,0.047,0.069,0713,1.9709999999999999,1.775,0.0003511676323776556,0.0004387388889376375,0.5957446808510638,0.7246376811594203
25663,2019,24,124,090420,0.011000000000000001,0.002,09,1352.3919999999998,794.8629999999998,0.14900000000000002,0.06,0904,1.484,0.43,8.133736372294426e-06,2.516156872316362e-06,0.07382550335570469,0.03333333333333333
25664,2019,24,124,120740,0.027999999999999997,0.011000000000000001,12,48.172000000000004,116.72100000000002,0.027999999999999997,0.011000000000000001,1207,0.027999999999999997,0.011000000000000001,0.0005812505189736776,9.424182452172273e-05,1.0,1.0
25665,2019,24,124,120991,0.03,,12,48.172000000000004,116.72100000000002,3.1199999999999997,0.08,1209,3.176,0.096,0.0006227684131860831,,0.009615384615384616,
25666,2019,24,124,120999,0.033,0.005,12,48.172000000000004,116.72100000000002,0.056,0.016,1209,3.176,0.096,0.0006850452545046915,4.2837192964419424e-05,0.5892857142857143,0.3125
25708,2019,24,132,170199,0.726,0.298,17,10.966999999999999,23.398999999999997,2.659,4.881,1701,3.561,5.2780000000000005,0.06619859578736209,0.012735586990897049,0.27303497555471984,0.06105306289694734
25709,2019,24,132,170490,1.2229999999999999,0.498,17,10.966999999999999,23.398999999999997,1.4609999999999999,0.593,1704,7.366,18.093,0.11151636728366919,0.02128296081029104,0.83709787816564,0.8397976391231029
25710,2019,24,132,180610,2.1919999999999997,0.8170000000000001,18,7.368,2.779,2.1919999999999997,0.8170000000000001,1806,7.368,2.779,0.29750271444082516,0.2939906441165887,1.0,1.0
25711,2019,24,132,180690,5.176,1.962,18,7.368,2.779,5.176,1.962,1806,7.368,2.779,0.7024972855591748,0.7060093558834113,1.0,1.0
25734,2019,24,156,170490,0.057999999999999996,0.005,17,10.966999999999999,23.398999999999997,1.4609999999999999,0.593,1704,7.366,18.093,0.005288593051882922,0.0002136843454848498,0.03969883641341547,0.008431703204047219
25791,2019,24,178,071410,68.921,105.0,07,79.73400000000001,113.96300000000004,68.921,105.0,0714,69.013,105.075,0.8643865853964432,0.9213516667690388,1.0,1.0
25794,2019,24,178,170410,5.905,17.5,17,10.966999999999999,23.398999999999997,5.905,17.5,1704,7.366,18.093,0.5384334822649768,0.7478952091969743,1.0,1.0
26201,2019,24,276,090111,12.657,9.482999999999999,09,1352.3919999999998,794.8629999999998,1349.051,794.204,0901,1349.146,794.2159999999999,0.009358972842193685,0.011930357810088029,0.009382150860123154,0.011940257163146999
26529,2019,24,404,100890,0.004,0.008,10,138.41199999999998,751.962,0.004,0.008,1008,0.004,0.008,2.8899228390601975e-05,1.0638835473069119e-05,1.0,1.0
26552,2019,24,410,090111,0.794,0.165,09,1352.3919999999998,794.8629999999998,1349.051,794.204,0901,1349.146,794.2159999999999,0.0005871078799637976,0.00020758294196609987,0.0005885618853549644,0.0002077551863249241
26639,2019,24,516,070200,6.505,5.041,07,79.73400000000001,113.96300000000004,6.505,5.041,0702,6.505,5.041,0.08158376602202322,0.044233654782692616,1.0,1.0
26640,2019,24,516,070310,0.42100000000000004,0.745,07,79.73400000000001,113.96300000000004,0.461,0.795,0703,1.416,1.272,0.00528005618682118,0.006537209445170799,0.9132321041214752,0.9371069182389936
26641,2019,24,516,070320,0.134,0.067,07,79.73400000000001,113.96300000000004,0.955,0.477,0703,1.416,1.272,0.0016805879549502093,0.0005879101111764344,0.14031413612565447,0.14046121593291405
26642,2019,24,516,070610,0.024,0.046,07,79.73400000000001,113.96300000000004,0.024,0.046,0706,0.024,0.046,0.0003010008277522763,0.00040363977782262653,1.0,1.0
26643,2019,24,516,070820,0.018000000000000002,0.006999999999999999,07,79.73400000000001,113.96300000000004,0.018000000000000002,0.006999999999999999,0708,0.11100000000000002,0.047,0.00022575062081420724,6.142344445126924e-05,1.0,1.0
26644,2019,24,516,070890,0.09300000000000001,0.04,07,79.73400000000001,113.96300000000004,0.09300000000000001,0.04,0708,0.11100000000000002,0.047,0.0011663782075400707,0.00035099111115011005,1.0,1.0
26645,2019,24,516,070959,0.006,,07,79.73400000000001,113.96300000000004,0.006,0.0,0709,0.052000000000000005,0.029,7.525020693806907e-05,,1.0,
26646,2019,24,516,070960,0.013000000000000001,0.006999999999999999,07,79.73400000000001,113.96300000000004,0.046,0.029,0709,0.052000000000000005,0.029,0.000163042115032483,6.142344445126924e-05,0.28260869565217395,0.24137931034482754
26647,2019,24,516,071022,0.56,0.62,07,79.73400000000001,113.96300000000004,0.56,0.62,0710,0.5920000000000001,0.657,0.007023352647553114,0.005440362222826705,1.0,1.0
26648,2019,24,516,071030,0.032,0.037000000000000005,07,79.73400000000001,113.96300000000004,0.032,0.037000000000000005,0710,0.5920000000000001,0.657,0.00040133443700303504,0.00032466677781385183,1.0,1.0
26649,2019,24,516,071190,0.002,0.001,07,79.73400000000001,113.96300000000004,0.002,0.001,0711,0.002,0.001,2.508340231268969e-05,8.77477777875275e-06,1.0,1.0
26650,2019,24,516,071310,0.006,0.013000000000000001,07,79.73400000000001,113.96300000000004,0.006,0.013000000000000001,0713,1.9709999999999999,1.775,7.525020693806907e-05,0.00011407211112378577,1.0,1.0
26651,2019,24,516,071331,0.062,0.051,07,79.73400000000001,113.96300000000004,0.062,0.051,0713,1.9709999999999999,1.775,0.0007775854716933804,0.00044751366671639024,1.0,1.0
26652,2019,24,516,071333,0.019,0.019,07,79.73400000000001,113.96300000000004,0.047,0.069,0713,1.9709999999999999,1.775,0.00023829232197055205,0.00016672077779630225,0.40425531914893614,0.27536231884057966
26653,2019,24,516,071339,1.8559999999999999,1.642,07,79.73400000000001,113.96300000000004,1.8559999999999999,1.642,0713,1.9709999999999999,1.775,0.02327739734617603,0.014408185112712016,1.0,1.0
26654,2019,24,516,071420,0.092,0.075,07,79.73400000000001,113.96300000000004,0.092,0.075,0714,69.013,105.075,0.0011538365063837258,0.0006581083334064562,1.0,1.0
26655,2019,24,516,080131,0.044000000000000004,0.005,08,3272.697,5563.571,0.044000000000000004,0.005,0801,0.044000000000000004,0.005,1.3444568806705908e-05,8.987033687536297e-07,1.0,1.0
26656,2019,24,516,080290,0.006,,08,3272.697,5563.571,0.042,0.095,0802,0.042,0.095,1.8333502918235327e-06,,0.14285714285714285,
26657,2019,24,516,080300,0.184,0.275,08,3272.697,5563.571,3019.9300000000003,5391.1669999999995,0803,3019.9300000000003,5391.1669999999995,5.622274228258833e-05,4.942868528144964e-05,6.092856456937743e-05,5.1009364020814054e-05
26658,2019,24,516,080440,0.013999999999999999,0.005,08,3272.697,5563.571,0.013999999999999999,0.005,0804,107.01,71.254,4.277817347588243e-06,8.987033687536297e-07,1.0,1.0
26659,2019,24,516,080450,5.0,2.4090000000000003,08,3272.697,5563.571,102.649,68.22500000000001,0804,107.01,71.254,0.0015277919098529438,0.0004329952830654988,0.048709680561914874,0.03530963722975449
26660,2019,24,516,080550,0.05,0.045,08,3272.697,5563.571,0.05,0.045,0805,0.05,0.045,1.527791909852944e-05,8.088330318782666e-06,1.0,1.0
26661,2019,24,516,080711,1.338,2.4130000000000003,08,3272.697,5563.571,1.338,2.4130000000000003,0807,104.3,80.221,0.0004088371150766478,0.0004337142457605017,1.0,1.0
26662,2019,24,516,080720,0.045,0.018000000000000002,08,3272.697,5563.571,102.962,77.808,0807,104.3,80.221,1.3750127188676494e-05,3.2353321275130673e-06,0.000437054447271809,0.0002313386798272671
26663,2019,24,516,081090,0.023,0.006999999999999999,08,3272.697,5563.571,41.136,20.701000000000004,0810,41.136,20.701000000000004,7.0278427853235416e-06,1.2581847162550813e-06,0.000559120964605212,0.0003381479155596347
26664,2019,24,516,081340,0.024,0.003,08,3272.697,5563.571,0.024,0.003,0813,0.024,0.003,7.333401167294131e-06,5.392220212521778e-07,1.0,1.0
26665,2019,24,516,090210,0.002,,09,1352.3919999999998,794.8629999999998,0.002,0.0,0902,1.747,0.214,1.4788611585989864e-06,,1.0,
26666,2019,24,516,090411,1.335,0.37,09,1352.3919999999998,794.8629999999998,1.335,0.37,0904,1.484,0.43,0.0009871398233648233,0.00046548902137852696,1.0,1.0
26667,2019,24,516,090420,0.138,0.057999999999999996,09,1352.3919999999998,794.8629999999998,0.14900000000000002,0.06,0904,1.484,0.43,0.00010204141994333006,7.296854929717449e-05,0.9261744966442953,0.9666666666666667
26668,2019,24,516,091099,0.015,0.003,09,1352.3919999999998,794.8629999999998,0.015,0.003,0910,0.015,0.003,1.1091458689492397e-05,3.774235308474543e-06,1.0,1.0
26669,2019,24,516,100400,0.008,0.033,10,138.41199999999998,751.962,0.008,0.033,1004,0.008,0.033,5.779845678120395e-05,4.3885196326410116e-05,1.0,1.0
26670,2019,24,516,100510,0.99,0.247,10,138.41199999999998,751.962,0.99,0.247,1005,122.97899999999998,682.7239999999999,0.007152559026673989,0.00032847404523100903,1.0,1.0
26671,2019,24,516,100590,121.98899999999999,682.477,10,138.41199999999998,751.962,121.98899999999999,682.477,1005,122.97899999999998,682.7239999999999,0.8813469930352861,0.907595064644224,1.0,1.0
26672,2019,24,516,100610,0.588,1.057,10,138.41199999999998,751.962,0.588,1.057,1006,2.158,2.742,0.00424818657341849,0.0014056561368792572,1.0,1.0
26673,2019,24,516,100620,0.201,0.264,10,138.41199999999998,751.962,0.201,0.264,1006,2.158,2.742,0.0014521862266277494,0.00035108157061128093,1.0,1.0
26674,2019,24,516,100630,1.36,1.395,10,138.41199999999998,751.962,1.36,1.395,1006,2.158,2.742,0.009825737652804672,0.0018551469356164274,1.0,1.0
26675,2019,24,516,100640,0.009000000000000001,0.026000000000000002,10,138.41199999999998,751.962,0.009000000000000001,0.026000000000000002,1006,2.158,2.742,6.502326387885445e-05,3.457621528747464e-05,1.0,1.0
26676,2019,24,516,100700,13.263,66.455,10,138.41199999999998,751.962,13.263,66.455,1007,13.263,66.455,0.0958226165361385,0.08837547642035103,1.0,1.0
26677,2019,24,516,110100,0.009000000000000001,0.024,11,196.52299999999997,401.33799999999997,0.093,0.027,1101,0.093,0.027,4.579616635203006e-05,5.97999691033493e-05,0.09677419354838711,0.888888888888889
26678,2019,24,516,110220,0.225,0.327,11,196.52299999999997,401.33799999999997,0.225,0.327,1102,0.35,0.442,0.0011449041588007512,0.0008147745790331343,1.0,1.0
26679,2019,24,516,110290,0.084,0.111,11,196.52299999999997,401.33799999999997,0.084,0.111,1102,0.35,0.442,0.00042743088595228047,0.00027657485710299055,1.0,1.0
26680,2019,24,516,110419,0.01,0.013000000000000001,11,196.52299999999997,401.33799999999997,0.01,0.013000000000000001,1104,0.01,0.013000000000000001,5.088462928003339e-05,3.2391649930980876e-05,1.0,1.0
26681,2019,24,516,110812,0.003,0.006999999999999999,11,196.52299999999997,401.33799999999997,0.003,0.006999999999999999,1108,0.003,0.006999999999999999,1.5265388784010018e-05,1.7441657655143544e-05,1.0,1.0
26682,2019,24,516,120220,0.589,0.456,12,48.172000000000004,116.72100000000002,2.154,0.8880000000000001,1202,2.154,0.8880000000000001,0.012227019845553432,0.003906751998355051,0.2734447539461467,0.5135135135135135
26683,2019,24,516,121130,3.0210000000000004,0.47100000000000003,12,48.172000000000004,116.72100000000002,3.0210000000000004,0.47100000000000003,1211,8.218,1.496,0.06271277920783858,0.00403526357724831,1.0,1.0
26684,2019,24,516,121190,5.197,1.025,12,48.172000000000004,116.72100000000002,5.197,1.025,1211,8.218,1.496,0.1078842481109358,0.00878162455770598,1.0,1.0
26685,2019,24,516,121299,7.882999999999999,6.42,12,48.172000000000004,116.72100000000002,7.882999999999999,6.42,1212,7.882999999999999,6.42,0.16364278003819643,0.05500295576631454,1.0,1.0
26686,2019,24,516,121410,21.243000000000002,90.37200000000001,12,48.172000000000004,116.72100000000002,21.243000000000002,90.37200000000001,1214,26.713,107.81000000000002,0.4409823133770655,0.7742565605161025,1.0,1.0
26687,2019,24,516,121490,5.47,17.438,12,48.172000000000004,116.72100000000002,5.47,17.438,1214,26.713,107.81000000000002,0.11355144067092915,0.14939899418270916,1.0,1.0
26701,2019,24,516,170112,0.008,0.017,17,10.966999999999999,23.398999999999997,0.008,0.017,1701,3.561,5.2780000000000005,0.000729461110604541,0.0007265267746484894,1.0,1.0
26702,2019,24,516,170191,0.894,0.38,17,10.966999999999999,23.398999999999997,0.894,0.38,1701,3.561,5.2780000000000005,0.08151727911005746,0.016240010256848587,1.0,1.0
26703,2019,24,516,170199,1.923,4.581,17,10.966999999999999,23.398999999999997,2.659,4.881,1701,3.561,5.2780000000000005,0.17534421446156653,0.1957775973332194,0.7232042121098158,0.9385371850030731
26704,2019,24,516,170290,0.037000000000000005,0.027000000000000003,17,10.966999999999999,23.398999999999997,0.04000000000000001,0.028000000000000004,1702,0.04000000000000001,0.028000000000000004,0.0033737576365460023,0.001153895465618189,0.9249999999999999,0.9642857142857143
26733,2019,24,516,240220,0.987,0.047,24,178.113,21.866,177.249,19.335,2402,177.249,19.335,0.005541425948695491,0.0021494557760907344,0.005568437621650898,0.0024308249288854406
27354,2019,24,616,090111,19.116,12.169,09,1352.3919999999998,794.8629999999998,1349.051,794.204,0901,1349.146,794.2159999999999,0.01413495495388911,0.015309556489608906,0.014169960957739923,0.015322259772048492
27355,2019,24,616,110100,0.084,0.003,11,196.52299999999997,401.33799999999997,0.093,0.027,1101,0.093,0.027,0.00042743088595228047,7.4749961379186626e-06,0.903225806451613,0.11111111111111112
27370,2019,24,620,070960,0.033,0.022000000000000002,07,79.73400000000001,113.96300000000004,0.046,0.029,0709,0.052000000000000005,0.029,0.0004138761381593799,0.00019304511113256052,0.7173913043478262,0.7586206896551725
27371,2019,24,620,080300,2436.011,4408.288,08,3272.697,5563.571,3019.9300000000003,5391.1669999999995,0803,3019.9300000000003,5391.1669999999995,0.7443435796225559,0.7923486552072401,0.8066448560065961,0.8176871538203139
27372,2019,24,620,080430,4.3469999999999995,3.0239999999999996,08,3272.697,5563.571,4.3469999999999995,3.0239999999999996,0804,107.01,71.254,0.0013282622864261493,0.0005435357974221952,1.0,1.0
27373,2019,24,620,080450,97.649,65.816,08,3272.697,5563.571,102.649,68.22500000000001,0804,107.01,71.254,0.029837470441046024,0.011829812183577778,0.9512903194380852,0.9646903627702454
27374,2019,24,620,080610,0.161,0.08,08,3272.697,5563.571,0.161,0.08,0806,0.161,0.08,4.9194899497264796e-05,1.4379253900058075e-05,1.0,1.0
27375,2019,24,620,080720,102.917,77.79,08,3272.697,5563.571,102.962,77.808,0807,104.3,80.221,0.03144715199726709,0.013982027011068971,0.9995629455527282,0.9997686613201727
27376,2019,24,620,081090,41.113,20.694000000000003,08,3272.697,5563.571,41.136,20.701000000000004,0810,41.136,20.701000000000004,0.012562421757956816,0.003719553502597523,0.9994408790353947,0.9996618520844403
27377,2019,24,620,090111,999.502,591.0,09,1352.3919999999998,794.8629999999998,1349.051,794.204,0901,1349.146,794.2159999999999,0.7390623428710019,0.743524355769485,0.7408926719597703,0.7441413037456371
27378,2019,24,620,090121,0.092,0.012,09,1352.3919999999998,794.8629999999998,0.092,0.012,0901,1349.146,794.2159999999999,6.802761329555337e-05,1.5096941233898172e-05,1.0,1.0
27379,2019,24,620,090122,0.003,,09,1352.3919999999998,794.8629999999998,0.003,0.0,0901,1349.146,794.2159999999999,2.2182917378984796e-06,,1.0,
27380,2019,24,620,090220,0.262,0.03,09,1352.3919999999998,794.8629999999998,1.745,0.214,0902,1.747,0.214,0.0001937308117764672,3.774235308474543e-05,0.1501432664756447,0.14018691588785046
27381,2019,24,620,110620,4.677,9.825,11,196.52299999999997,401.33799999999997,4.677,9.825,1106,4.677,9.825,0.023798741114271615,0.02448061235168362,1.0,1.0
27382,2019,24,620,110710,0.256,0.004,11,196.52299999999997,401.33799999999997,191.376,391.004,1107,191.376,391.004,0.0013026465095688547,9.966661517224885e-06,0.0013376807959200735,1.023007437264069e-05
27383,2019,24,620,120220,1.565,0.43200000000000005,12,48.172000000000004,116.72100000000002,2.154,0.8880000000000001,1202,2.154,0.8880000000000001,0.03248775222120734,0.0037011334721258385,0.7265552460538534,0.48648648648648646
27384,2019,24,620,170199,0.01,0.002,17,10.966999999999999,23.398999999999997,2.659,4.881,1701,3.561,5.2780000000000005,0.0009118263882556762,8.547373819393992e-05,0.0037608123354644606,0.0004097520999795124
27385,2019,24,620,170290,0.003,0.001,17,10.966999999999999,23.398999999999997,0.04000000000000001,0.028000000000000004,1702,0.04000000000000001,0.028000000000000004,0.00027354791647670287,4.273686909696996e-05,0.07499999999999998,0.03571428571428571
27827,2019,24,643,090111,119.022,61.74100000000001,09,1352.3919999999998,794.8629999999998,1349.051,794.204,0901,1349.146,794.2159999999999,0.08800850640938428,0.07767502072684226,0.08822646438125765,0.07773947247810388
27840,2019,24,646,240110,0.821,2.5,24,178.113,21.866,0.864,2.531,2401,0.864,2.531,0.0046094333372634225,0.1143327540473795,0.9502314814814814,0.9877518767285657
27843,2019,24,678,070310,0.04,0.05,07,79.73400000000001,113.96300000000004,0.461,0.795,0703,1.416,1.272,0.0005016680462537938,0.0004387388889376375,0.08676789587852494,0.06289308176100629
27844,2019,24,678,070320,0.821,0.41,07,79.73400000000001,113.96300000000004,0.955,0.477,0703,1.416,1.272,0.010296736649359118,0.0035976588892886272,0.8596858638743455,0.859538784067086
27845,2019,24,678,080290,0.036000000000000004,0.095,08,3272.697,5563.571,0.042,0.095,0802,0.042,0.095,1.1000101750941197e-05,1.7075364006318965e-05,0.8571428571428572,1.0
27846,2019,24,678,110210,0.040999999999999995,0.004,11,196.52299999999997,401.33799999999997,0.040999999999999995,0.004,1102,0.35,0.442,0.00020862698004813686,9.966661517224885e-06,1.0,1.0
27847,2019,24,678,110319,0.013999999999999999,0.02,11,196.52299999999997,401.33799999999997,0.013999999999999999,0.02,1103,0.013999999999999999,0.02,7.123848099204674e-05,4.983330758612442e-05,1.0,1.0
27848,2019,24,678,120991,3.09,0.08,12,48.172000000000004,116.72100000000002,3.1199999999999997,0.08,1209,3.176,0.096,0.06414514655816655,0.0006853950874307108,0.9903846153846154,1.0
27849,2019,24,678,120999,0.023,0.011000000000000001,12,48.172000000000004,116.72100000000002,0.056,0.016,1209,3.176,0.096,0.0004774557834426637,9.424182452172273e-05,0.4107142857142857,0.6875
27861,2019,24,678,240220,176.262,19.288,24,178.113,21.866,177.249,19.335,2402,177.249,19.335,0.9896077209412003,0.8821000640263423,0.9944315623783492,0.9975691750711145
28444,2019,24,710,080300,319.215,503.084,08,3272.697,5563.571,3019.9300000000003,5391.1669999999995,0803,3019.9300000000003,5391.1669999999995,0.09753881890074148,0.09042465711321021,0.10570278119029247,0.09331634505108079
28445,2019,24,710,090111,0.8059999999999999,5.005,09,1352.3919999999998,794.8629999999998,1349.051,794.204,0901,1349.146,794.2159999999999,0.0005959810469153915,0.006296682572971696,0.0005974570271991199,0.006301907318522698
28720,2019,24,724,080300,264.52,479.52,08,3272.697,5563.571,3019.9300000000003,5391.1669999999995,0803,3019.9300000000003,5391.1669999999995,0.08082630319886014,0.0861892478769481,0.08759143423854193,0.08894549176458455
28721,2019,24,724,090111,159.059,90.0,09,1352.3919999999998,794.8629999999998,1349.051,794.204,0901,1349.146,794.2159999999999,0.11761308851279807,0.11322705925423629,0.11790436388246256,0.11332101072268587
28905,2019,24,826,090220,1.483,0.184,09,1352.3919999999998,794.8629999999998,1.745,0.214,0902,1.747,0.214,0.0010965755491011485,0.0002314864322531053,0.8498567335243553,0.8598130841121495
29001,2019,24,842,090111,22.896,15.0,09,1352.3919999999998,794.8629999999998,1349.051,794.204,0901,1349.146,794.2159999999999,0.016930002543641194,0.018871176542372716,0.01697193063864895,0.018886835120447646
28059,2018,24,8,070190,0.5870000000000001,0.474,07,565.9249999999998,534.8009999999998,42.397,16.163,0701,42.397,16.163,0.0010372399169501264,0.0008863109829637569,0.013845319244286154,0.029326238940790693
28060,2018,24,8,091010,0.027000000000000003,0.47200000000000003,09,1685.073,900.8410000000001,0.195,1.418,0910,0.221,1.4229999999999998,1.6023044698953695e-05,0.0005239548377571624,0.13846153846153847,0.33286318758815236
28105,2018,24,28,070190,0.003,,07,565.9249999999998,534.8009999999998,42.397,16.163,0701,42.397,16.163,5.3010557936122295e-06,,7.075972356534661e-05,
28106,2018,24,28,070519,0.023,,07,565.9249999999998,534.8009999999998,1.07,0.8350000000000001,0705,1.329,0.975,4.064142775102709e-05,,0.021495327102803736,
28107,2018,24,28,070529,0.039,,07,565.9249999999998,534.8009999999998,0.039,0.0,0705,1.329,0.975,6.891372531695898e-05,,1.0,
28108,2018,24,28,070610,0.01,,07,565.9249999999998,534.8009999999998,2.5829999999999997,3.662,0706,9.668,27.301,1.7670185978707432e-05,,0.003871467286101433,
28109,2018,24,28,070940,0.031,,07,565.9249999999998,534.8009999999998,0.4110000000000001,0.37599999999999995,0709,9.279999999999998,7.785999999999998,5.477757653399303e-05,,0.07542579075425788,
28110,2018,24,28,070959,0.011000000000000001,,07,565.9249999999998,534.8009999999998,0.054,0.015000000000000001,0709,9.279999999999998,7.785999999999998,1.9437204576578175e-05,,0.20370370370370372,
28111,2018,24,28,070960,0.069,,07,565.9249999999998,534.8009999999998,3.5749999999999997,4.591,0709,9.279999999999998,7.785999999999998,0.00012192428325308129,,0.019300699300699303,
