,t,i,j,k,v,q,category,vcate,qcate,vprod,qprod,category2level,vcate2,qcate2,vcate%,qcate%,vprod%,qprod%
7192035,2019,686,28,170199,0.013999999999999999,0.003,17,6507.024,5440.917000000002,747.706,1430.791,1701,1158.6470000000002,1742.8049999999996,2.151521186951208e-06,5.5137764461395e-07,1.8723936948479746e-05,2.0967422915016938e-06
7192051,2019,686,31,120799,1.1520000000000001,0.5579999999999999,12,217336.68099999998,332682.6090000001,103.459,76.437,1207,4715.222,2683.339,5.300531850856783e-06,1.6772743296599545e-06,0.011134845687663713,0.007300129518426939
7192094,2019,686,40,070200,0.272,0.125,07,88410.49200000001,75832.20399999998,17969.798999999995,12464.546999999999,0702,17969.798999999995,12464.546999999999,3.0765579270840387e-06,1.6483761964771593e-06,1.513650764819351e-05,1.0028443071376762e-05
7192095,2019,686,40,070820,158.503,52.593999999999994,07,88410.49200000001,75832.20399999998,28900.827,13315.642,0708,29234.742999999995,13584.008999999998,0.0017928075776345637,0.0006935575814201577,0.005484375931526111,0.003949790779896305
7192096,2019,686,40,070960,14.206,1.146,07,88410.49200000001,75832.20399999998,2379.6259999999997,980.063,0709,24672.124,28484.057,0.00016068228644174943,1.5112312969302596e-05,0.005969845681632324,0.0011693125850072903
7192097,2019,686,40,070990,20.46,8.043,07,88410.49200000001,75832.20399999998,22189.764,27466.099000000002,0709,24672.124,28484.057,0.00023142049701521848,0.00010606311798612633,0.0009220467599385015,0.00029283372203675514
7192098,2019,686,40,071190,2.174,0.32299999999999995,07,88410.49200000001,75832.20399999998,3.461,1.072,0711,3.461,1.072,2.4589841667208454e-05,4.259404091696979e-06,0.6281421554464027,0.30130597014925364
7192099,2019,686,40,080450,170.183,115.074,08,123681.83200000001,118660.10299999997,27294.021999999994,18312.907000000003,0804,27348.567999999996,18336.928000000004,0.0013759741204350852,0.0009697783592855976,0.006235174867229169,0.006283764778579391
7192100,2019,686,40,080711,5.492999999999999,2.286,08,123681.83200000001,118660.10299999997,11238.824999999999,25877.632,0807,26701.178000000004,34258.695,4.4412343439414766e-05,1.9265110531717645e-05,0.0004887521604794096,8.833884027719383e-05
7192101,2019,686,40,080719,191.766,98.30799999999999,08,123681.83200000001,118660.10299999997,15462.353000000001,8381.063,0807,26701.178000000004,34258.695,0.0015504783273261992,0.0008284840271881444,0.012402122755831534,0.01172977699845473
7192102,2019,686,40,081190,2.5639999999999996,3.1510000000000002,08,123681.83200000001,118660.10299999997,9.965,6.994000000000001,0811,9.965,6.994000000000001,2.0730611428847524e-05,2.6554839582433202e-05,0.2573005519317611,0.45052902487846724
7192103,2019,686,40,090411,0.019,0.002,09,2487.8620000000005,1640.4139999999993,542.2959999999999,173.37099999999998,0904,857.4979999999999,338.721,7.63707954862448e-06,1.219204420347547e-06,3.503621638367239e-05,1.1535954686769992e-05
